timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/07/01 03:07:50.872, [N/A], [N/A], 9231 MiB
2026/07/01 03:07:51.876, [N/A], [N/A], 9231 MiB
2026/07/01 03:07:52.876, [N/A], [N/A], 9231 MiB
2026/07/01 03:07:53.877, [N/A], [N/A], 9231 MiB
2026/07/01 03:07:54.877, [N/A], [N/A], 9231 MiB
2026/07/01 03:07:55.878, [N/A], [N/A], 9231 MiB
2026/07/01 03:07:56.879, [N/A], [N/A], 9231 MiB
2026/07/01 03:07:57.879, [N/A], [N/A], 9231 MiB
2026/07/01 03:07:58.880, [N/A], [N/A], 9231 MiB
2026/07/01 03:07:59.880, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:00.881, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:01.882, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:02.882, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:03.883, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:04.883, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:05.884, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:06.884, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:07.885, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:08.886, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:09.886, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:10.887, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:11.887, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:12.888, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:13.889, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:14.889, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:15.891, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:16.891, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:17.892, [N/A], [N/A], 8719 MiB
2026/07/01 03:08:18.893, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:19.893, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:20.894, [N/A], [N/A], 9231 MiB
2026/07/01 03:08:21.894, [N/A], [N/A], 9488 MiB
2026/07/01 03:08:22.895, [N/A], [N/A], 9490 MiB
2026/07/01 03:08:23.896, [N/A], [N/A], 9534 MiB
2026/07/01 03:08:24.897, [N/A], [N/A], 9534 MiB
2026/07/01 03:08:25.898, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:26.898, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:27.899, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:28.900, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:29.900, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:30.901, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:31.901, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:32.902, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:33.902, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:34.903, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:35.904, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:36.904, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:37.905, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:38.905, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:39.906, [N/A], [N/A], 9536 MiB
2026/07/01 03:08:40.907, [N/A], [N/A], 9024 MiB
2026/07/01 03:08:41.907, [N/A], [N/A], 9558 MiB
2026/07/01 03:08:42.908, [N/A], [N/A], 10808 MiB
2026/07/01 03:08:43.909, [N/A], [N/A], 12444 MiB
2026/07/01 03:08:44.909, [N/A], [N/A], 12444 MiB
2026/07/01 03:08:45.910, [N/A], [N/A], 12444 MiB
2026/07/01 03:08:46.910, [N/A], [N/A], 12444 MiB
2026/07/01 03:08:47.911, [N/A], [N/A], 12446 MiB
2026/07/01 03:08:48.912, [N/A], [N/A], 12446 MiB
2026/07/01 03:08:49.912, [N/A], [N/A], 12580 MiB
2026/07/01 03:08:50.913, [N/A], [N/A], 12584 MiB
2026/07/01 03:08:51.914, [N/A], [N/A], 12584 MiB
2026/07/01 03:08:52.914, [N/A], [N/A], 12584 MiB
2026/07/01 03:08:53.915, [N/A], [N/A], 12584 MiB
2026/07/01 03:08:54.915, [N/A], [N/A], 12072 MiB
2026/07/01 03:08:55.916, [N/A], [N/A], 12584 MiB
2026/07/01 03:08:56.917, [N/A], [N/A], 12584 MiB
2026/07/01 03:08:57.917, [N/A], [N/A], 14506 MiB
2026/07/01 03:08:58.918, [N/A], [N/A], 14506 MiB
2026/07/01 03:08:59.919, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:00.920, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:01.920, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:02.921, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:03.922, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:04.922, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:05.923, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:06.924, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:07.924, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:08.925, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:09.926, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:10.926, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:11.927, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:12.928, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:13.928, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:14.929, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:15.930, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:16.930, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:17.931, [N/A], [N/A], 14506 MiB
